Title,Author Name,Rating,Review,Size,Helpfullness,Review_Date
"
Fantastic crocs
",Lamby444,5.0 out of 5 stars,"

  I resisted my partners abuse & finally purchased a pair! I should have done it ages ago! They are fantastic, robust & incredibly versatile particularly outside & easy to maintain/clean.

",Size: 7.5/8 UKColour: Black,One person found this helpful,Reviewed in the United Kingdom on 20 November 2012
"
Just what I needed for 'informal' footwear.
",Big Bear Grrrr,5.0 out of 5 stars,"

  Good product for walking and pottering in the garden. A very competitive price together with a prompt delivery.

",Size: 11 UKColour: Black,,Reviewed in the United Kingdom on 28 May 2016
"
I love them but would of preferred the size 6 i ...
",JJW,5.0 out of 5 stars,"

  I love them but would of preferred the size 6 i ordered instead of the size 5 i received.

",Size: 5/5.5 UKColour: Candy Pink,,Reviewed in the United Kingdom on 2 July 2018
"
Great!
",LANDROVER,5.0 out of 5 stars,"

  Seemed a snugger fit than those purchased previously,, but no prob.Comfy as ever!👍

",Size: 5 UK Men/ 6 UK WomenColour: Black,One person found this helpful,Reviewed in the United Kingdom on 16 February 2016
"
Great Crocs
",Duce,5.0 out of 5 stars,"

  Great Crocs - fit well & Very comfortableWonderful for the Summer & All year aroundLove them - will continue to buy as children out grow or wear out

",Size: 5/6 UKColour: Neon Magenta,,Reviewed in the United Kingdom on 8 April 2014
"
Good fit very comfortable
",Henrietta Johnstone,5.0 out of 5 stars,"

  For comfort look no further , nice and light weight,I wear them at work and need them as I am never of my feet on cement floors, they are springy , amazon delivered them in a few days good price thank you.

",,,Reviewed in the United Kingdom on 14 November 2013
"
Five Stars
",Serena,5.0 out of 5 stars,"

  Still a good fit, but on the smaller size of a size 5 . Xx

",,,Reviewed in the United Kingdom on 20 September 2017
"
comfiest shoes ever made
",Tops,5.0 out of 5 stars,"

  Not everyone's favourite footwear but I think that they are great.

",Size: 13 UKColour: Khaki,,Reviewed in the United Kingdom on 1 May 2017
"
Perfect fit
",Churchmouse,5.0 out of 5 stars,"

  Some reviewers have experienced sizing problems so I was prepared to have to return them. I am size 8 and followed the guide and these shoes are a perfect fit. 5 stars no problem.

",Size: 7.5/8 UKColour: Black,,Reviewed in the United Kingdom on 23 March 2015
"
Exactly as described
",Kay Vanes-Williams,5.0 out of 5 stars,"

  Fit was perfect and not overpriced as some other brands were.

",Size: 3 UK Men/ 4 UK WomenColour: Navy,,Reviewed in the United Kingdom on 7 August 2020
"
Crocs unisex-Adult classic sandal
",Sheebs99,5.0 out of 5 stars,"

  Really comfortable, a treat for feet! Excellent price.  Very pleased with these, I suffer from painful joints and I find that Crocs really help to make standing / walking more enjoyable.

",Size: 7/8 UKColour: Neon Magenta,,Reviewed in the United Kingdom on 7 August 2013
"
A great present
",John Breheny,5.0 out of 5 stars,"

  This was a present to my daughter who loves everything about them. Great for slipping on to go out into the garden and out and about. Very comfortable and well received.

",,,Reviewed in the United Kingdom on 16 January 2014
"
My husband is very pleased with these
",Selina,5.0 out of 5 stars,"

  My husband is very pleased with these, he had been looking everywhere and was  pleased that I had sourced them for him.

",Size: 11 UKColour: Black,,Reviewed in the United Kingdom on 11 February 2017
"
you can always rely on crocs
",Kath Skelton,5.0 out of 5 stars,"

  dont buy the cheap imitation crocks, cheap, thin plastic and dont lastSo these were great and will last for agesLovely and comfortable i wear them all day at work

",Size: 6 UK Men/ 7 UK WomenColour: Black,,Reviewed in the United Kingdom on 21 February 2014
"
Crocs
",john,5.0 out of 5 stars,"

  Comfy shoe , good value

",Size: 5 UK Men/ 6 UK WomenColour: Black,,Reviewed in the United Kingdom on 25 March 2018
"
Good buy
",Shelly,4.0 out of 5 stars,"

  Bought these for my partner who loves them and wears them around the house like slippers.

",Size: 9 UK Men/ 10 UK WomenColour: Black,,Reviewed in the United Kingdom on 8 February 2017
"
great product
",Anna Krzeczkowska,5.0 out of 5 stars,"

  Very comfy and as expected.

",Size: 3 UK Men/ 4 UK WomenColour: Navy,,Reviewed in the United Kingdom on 9 June 2020
"
Lime Green Bargain
",Jonboy,5.0 out of 5 stars,"

  Great Crocs Quality  at a Very Low price because they are bright lime green, ordering a second pair

",,,Reviewed in the United Kingdom on 15 June 2016
"
Excellent
",Aimee,5.0 out of 5 stars,"

  I bought these for my husband as he'd only had a cheaper version before,and weren't very comfortable ,he loves these and put then on as soon as they arrived ,an wears them all the while dog walking etc.

",Size: 9 UK Men/ 10 UK WomenColour: Navy,,Reviewed in the United Kingdom on 12 June 2014
"
Super comfy
",Susie,5.0 out of 5 stars,"

  They are soo comfy I don't want to wear any other shoes on my feet the only thing I will say is they are quite small made I am a size 4 and they just fit me so if you in-between sizes I would go up a size

",Size: 3 UK Men/ 4 UK WomenColour: Black,,Reviewed in the United Kingdom on 2 August 2013
"
As per ordered
",Sharon lambert,5.0 out of 5 stars,"

  As per ordered

",Size: 3/4 UK WideColour: Neon Purple,,Reviewed in the United Kingdom on 22 January 2020
"
Ladies Crocs
",LINDA,5.0 out of 5 stars,"

  Great shoes, great delivery time, suitable packaging. Exactly what I wanted.Well known shoe ideal for many activities, can be worn as a clog type shoe or with the heel restraint if needed.

",Size: 4 UK Men/ 5 UK WomenColour: Black,,Reviewed in the United Kingdom on 3 December 2011
"
Perfect shoes for around the house
",Rachel Daye,5.0 out of 5 stars,"

  My mum has always had a pair of fake crocs as her house shoes, this Christmas I decided to purchase her a pair of genuine crocs to treat her for all of her hard work throughout the year. Safe to say, she loved it.

",Size: 5 UK Men/ 6 UK WomenColour: Ice Blue,,Reviewed in the United Kingdom on 16 March 2018
"
THE TRUTH
",Amarachi,5.0 out of 5 stars,"

  There was absolutely nothing wrong with these crocs, everything they said was true!

",Size: 6 UK Men/ 7 UK WomenColour: Navy,,Reviewed in the United Kingdom on 5 November 2020
"
Very happy, get some.
",Ian McCance,5.0 out of 5 stars,"

  My last pair lasted 20 months for work. So I didn't hesitate in ordering these. So comfy and great price, love the colour.

",Size: 8/9 UKColour: Pool,,Reviewed in the United Kingdom on 15 January 2016
"
Five Stars
",Amazon Customer,5.0 out of 5 stars,"

  Comfy

",Size: 3 UK Men/ 4 UK WomenColour: Black,,Reviewed in the United Kingdom on 17 July 2018
"
Quality shows
",L D,5.0 out of 5 stars,"

  Have had a pair of cheap copies for about six years and they have worn well. This pair is much better quality and size is correct so I hope for many years of wear out of them.

",Size: 5 UK Men/ 6 UK WomenColour: Black,,Reviewed in the United Kingdom on 23 September 2013
"
Fahim
",fahim,5.0 out of 5 stars,"

  Best qualityGreat valueItem same as descriprionVery fast delivery

",Size: 5 UK Men/ 6 UK WomenColour: Black,,Reviewed in the United Kingdom on 24 September 2018
"
These crocs are really comfortable to wear round the house and in the garden
",B.F. Conder,4.0 out of 5 stars,"

  These crocs are really comfortable to wear round the house and in the garden, also useful for popping to the shops. They are a very nice colour.

",,,Reviewed in the United Kingdom on 31 August 2015
"
Love my Crocs
",babs,5.0 out of 5 stars,"

  I have always had at least one pair of Crocs and they have always been comfortable

",Size: 7 UK Men/ 8 UK WomenColour: Gold,,Reviewed in the United Kingdom on 28 June 2017
"
what a Croc!
",Kindle Customer,5.0 out of 5 stars,"

  They were everything we had expected as we have had several pairs before, however it's the first time we've bought them on the internet.  They are much cheaper than the shops but exactly the same quality.

",Size: 7.5/8 UKColour: Black,,Reviewed in the United Kingdom on 6 February 2011
"
Five Stars
",rhiannon richardson,5.0 out of 5 stars,"

  Very happy with colour and a good fit x

",Size: 5 UK Men/ 6 UK WomenColour: Ice Blue,,Reviewed in the United Kingdom on 12 January 2018
"
Love 'em.... I'm a repeat buyer
",T=H=E (Old) Time-Traveller,5.0 out of 5 stars,"

  When you have big-AMERICAN feet, these make life SIMPLY great!

",Size: 15 UKColour: Black,,Reviewed in the United Kingdom on 3 May 2018
"
Five Stars
",CP Bouwens,5.0 out of 5 stars,"

  excellent

",Size: 11 UKColour: Black,,Reviewed in the United Kingdom on 1 June 2018
"
One Star
",Editor 489,1.0 out of 5 stars,"

  Don't like them

",Size: 7.5/8 UKColour: Black,,Reviewed in the United Kingdom on 26 April 2018
"
Crocs
",Amazon Customer,5.0 out of 5 stars,"

  Very good!

",,,Reviewed in the United Kingdom on 3 May 2019
"
pink crocs
",elaine lawer,5.0 out of 5 stars,"

  Very nice and fits well, very good service arrived quickly

",Size: 5/6 UKColour: Neon Magenta,,Reviewed in the United Kingdom on 26 May 2017
"
Light and practical
",Nicola Brisley,4.0 out of 5 stars,"

  These were the first pair of crocs I had bought and have found that they are great for speedy exits to the beach etc. Nice and light so didn't add to our measly on-flight weight allowance and great for paddling in stony rivers and for the beach. However, I still don't get why they are so expensive.  After all, they are just a bit of moulded plastic.  I would probably go for imitation crocs on another occasion.

",,,Reviewed in the United Kingdom on 26 July 2013
"
Lovely shoes.
",Tan,4.0 out of 5 stars,"

  Lovely colour but the shoe was slightly tight across the top. Returned them but ordered a bigger size as we were so impressed. Good quality and well made.

",,,Reviewed in the United Kingdom on 6 November 2014
"
My Mother loved them exactly what she wanted and exactly as described
",Julie Hatch,5.0 out of 5 stars,"

  A present for Mother's Day! My Mother loved them exactly what she wanted and exactly as described. Super prompt delivery especially as they were a last minute purchase. Two very happy customers :-D x

",Size: 5 UK Men/ 6 UK WomenColour: Black,,Reviewed in the United Kingdom on 13 March 2016
"
Great service
",sukie,5.0 out of 5 stars,"

  Exactly what I expected and arrived in a timely fashion.

",Size: 5/6 UK WideColour: Bright Cobalt,,Reviewed in the United Kingdom on 30 April 2020
"
Beware
",M. A.,1.0 out of 5 stars,"

  Ridiculous size 10 pounds to return to Germany

",,One person found this helpful,Reviewed in the United Kingdom on 23 July 2019
"
Nice colour but to big
",Petro,2.0 out of 5 stars,"

  Colour I liked but to big

",Size: 11 UKColour: Garnet,,Reviewed in the United Kingdom on 3 March 2018
"
Great for summer!
",Sarah.T.,5.0 out of 5 stars,"

  Bought these for my Son to wear on holiday and they are perfect! Original `Crocs' are very well made, extremely comfortable and perfect when on the beach or in and out the pool.Size was accurate and delivery was very fast too - thank you Amazon!

",Size: 3 UK Men/ 4 UK WomenColour: Navy,,Reviewed in the United Kingdom on 30 May 2013
"
Super comfy shoes
",cat,5.0 out of 5 stars,"

  Super comfy, stunning colour,Would definitely recommend.Love these in neon pink, they really stand out, look awesome with white summer trousers.

",Size: 4 UK Men/ 5 UK WomenColour: Neon Magenta,,Reviewed in the United Kingdom on 26 June 2014
"
pricing yoyo
",beans,4.0 out of 5 stars,"

  I bought the teal for 15. They were slightly smaller but it was worth it. At £30 thats a lot of money. I know its all the branding but at the end of the day that is still too much.

",Size: 4 UKColour: Tropical Teal,,Reviewed in the United Kingdom on 12 May 2019
"
Awesome company brilliant customer service
",Ammar,5.0 out of 5 stars,"

  awesome product

",Size: 12 UKColour: Slate Grey,,Reviewed in the United Kingdom on 27 September 2019
"
very comfortable shoes
",Jamie,5.0 out of 5 stars,"

  I bought these for use in the garden following a recommendation from a relative. They are certainly odd looking but amazingly comfortable so I wear them in the house when relaxing.

",Size: 6 UK Men/ 7 UK WomenColour: Navy,,Reviewed in the United Kingdom on 3 June 2013
"
Brilliant for nursing and easily cleaned
",lucy,5.0 out of 5 stars,"

  Ordered a 5 and they fit perfectly. Brilliant for nursing and easily cleaned. Still have grip after a year.

",Size: 5/5.5 UKColour: Pool,,Reviewed in the United Kingdom on 29 August 2016
"
Perfect fit
",DEL EVANS,5.0 out of 5 stars,"

  Good value for money , perfect fit and a jazzy colour. Can't ask for more for £15

",Size: 4 UKColour: Tropical Teal,,Reviewed in the United Kingdom on 25 January 2019
"
Very comfortable
",mrs j a wells,5.0 out of 5 stars,"

  My husband loves them. Very comfortable

",Size: 6 UK Men/ 7 UK WomenColour: Navy,,Reviewed in the United Kingdom on 1 January 2018
"
A good value
",David,5.0 out of 5 stars,"

  The shoes are comfort. It's plastic is soft. Good value for money.

",Size: 7/8 UK WideColour: Bright Cobalt,,Reviewed in the United Kingdom on 10 October 2020
"
The shrink
",Jonathan Rees,5.0 out of 5 stars,"

  My crocs are by my back door and on of them has shrunk in the heat

",Size: 11 UKColour: Black,,Reviewed in the United Kingdom on 26 June 2020
"
Crocs
",VivC,5.0 out of 5 stars,"

  Seems you either love them or hate them - or both. You certainly can't get anything comfier, but I wouldn't go out in them. Put mine on as soon as I get up & as soom as I get home. If only they didn't look so ... croccy?

",,,Reviewed in the United Kingdom on 12 December 2012
"
Four Stars
",karine,4.0 out of 5 stars,"

  I’m still happy with them after few months

",Size: 4.5 UKColour: Navy,,Reviewed in the United Kingdom on 20 October 2017
